ISTAT,comune,casi,tasso
60069,SANTOPADRE,0,0
60070,SAN VITTORE DEL LAZIO,7,27.23
60071,SERRONE,5,16.4
60072,SETTEFRATI,2,27.86
60073,SGURGOLA,3,11.32
60074,SORA,68,26.18
60075,STRANGOLAGALLI,5,20.71
60076,SUPINO,6,12.44
60077,TERELLE,3,79.79
60078,TORRE CAJETANI,0,0
60079,TORRICE,13,26.84
60080,TREVI NEL LAZIO,0,0
60081,TRIVIGLIANO,12,71.6
60082,VALLECORSA,2,7.77
60083,VALLEMAIO,0,0
60084,VALLEROTONDA,1,6.53
60085,VEROLI,88,43.11
60086,VICALVI,1,12.99
60087,VICO NEL LAZIO,6,27.29
60088,VILLA LATINA,0,0
60089,VILLA SANTA LUCIA,3,11.52
60090,VILLA SANTO STEFANO,3,17.62
60091,VITICUSO,0,0
